lat,lon,id,,
42.372658,-71.09253,1,,
42.37212,-71.08846,2,,
42.361176,-71.08832,3,,
42.36245,-71.08818,4,,
42.36262,-71.08816,5,,
42.366436,-71.08809,6,,
42.3631,-71.08804,7,,
42.367134,-71.088036,8,,
42.366337,-71.087944,9,,
42.367825,-71.087845,10,,
42.366432,-71.08782,11,,
42.36632,-71.08779,12,,
42.368496,-71.08771,13,,
42.36926,-71.08753,14,,
42.36396,-71.08748,15,,
42.369865,-71.08739,16,,
42.36401,-71.08733,17,,
42.366253,-71.08726,18,,
42.361904,-71.08716,19,,
42.362366,-71.0871,20,,
42.362473,-71.08708,21,,
42.371914,-71.086876,22,,
42.366142,-71.08671,23,,
42.369766,-71.08662,24,,
42.366215,-71.086586,25,,
42.36042,-71.086395,26,,
42.363464,-71.08631,27,,
42.36355,-71.08625,28,,
42.361824,-71.08622,29,,
42.36106,-71.08618,30,,
42.366222,-71.08618,31,,
42.37182,-71.08613,32,,
42.366207,-71.08605,33,,
42.369698,-71.086006,34,,
42.367607,-71.085976,35,,
42.36666,-71.085945,36,,
42.368275,-71.08583,37,,
42.367584,-71.085724,38,,
42.368885,-71.08543,39,,
42.360767,-71.08539,40,,
42.361675,-71.08526,41,,
42.361923,-71.08522,42,,
42.362328,-71.08517,43,,
42.36307,-71.08512,44,,
42.362965,-71.085106,45,,
42.366077,-71.085045,46,,
42.36191,-71.08504,47,,
42.366158,-71.08502,48,,
42.362373,-71.08486,49,,
42.3644,-71.08476,50,,
42.37236,-71.08462,51,,
42.365322,-71.08457,52,,
42.361473,-71.084526,53,,
42.361916,-71.08448,54,,
42.365997,-71.08443,55,,
42.36265,-71.08441,56,,
42.36276,-71.08439,57,,
42.36109,-71.08436,58,,
42.361458,-71.08433,59,,
42.364193,-71.0843,60,,
42.36666,-71.08427,61,,
42.36221,-71.08423,62,,
42.361366,-71.083885,63,,
42.362286,-71.083824,64,,
42.363365,-71.083786,65,,
42.36236,-71.08375,66,,
42.36385,-71.08347,67,,
42.36395,-71.08342,68,,
42.36214,-71.0834,69,,
42.362194,-71.08317,70,,
42.364464,-71.08312,71,,
42.363594,-71.082794,72,,
42.365093,-71.08276,73,,
42.363773,-71.08271,74,,
42.36299,-71.08233,75,,
42.367817,-71.08228,76,,
42.362144,-71.08212,77,,
42.362617,-71.08207,78,,
42.366383,-71.082,79,,
42.363632,-71.08199,80,,
42.361927,-71.08196,81,,
42.364304,-71.081924,82,,
42.364967,-71.08176,83,,
42.36428,-71.08174,84,,
42.361088,-71.08159,85,,
42.36552,-71.08154,86,,
42.365627,-71.08154,87,,
42.366325,-71.08154,88,,
42.366985,-71.081535,89,,
42.37315,-71.08104,90,,
42.368954,-71.0803,91,,
42.36145,-71.08024,92,,
42.361794,-71.08017,93,,
42.364075,-71.08017,94,,
42.369633,-71.08015,95,,
42.36752,-71.08001,96,,
42.370316,-71.08,97,,
42.3609,-71.079735,98,,
42.366093,-71.07971,99,,
42.368877,-71.07971,100,,
42.366768,-71.079544,101,,
42.361366,-71.07951,102,,
42.37169,-71.07948,103,,
42.361065,-71.07935,104,,
42.361732,-71.07924,105,,
42.36125,-71.079094,106,,
42.361107,-71.07902,107,,
42.361603,-71.07894,108,,
42.362083,-71.07888,109,,
42.362663,-71.0788,110,,
42.37016,-71.07875,111,,
42.36666,-71.078674,112,,
42.37195,-71.07867,113,,
42.363235,-71.07866,114,,
42.370853,-71.0786,115,,
42.36138,-71.078575,116,,
42.36301,-71.07855,117,,
42.363857,-71.078545,118,,
42.3638,-71.07846,119,,
42.37155,-71.078445,120,,
42.364536,-71.078354,121,,
42.36305,-71.07834,122,,
42.362633,-71.078316,123,,
42.364143,-71.07823,124,,
42.361656,-71.078224,125,,
42.365093,-71.078224,126,,
42.37156,-71.07821,127,,
42.363956,-71.0782,128,,
42.3708,-71.07817,129,,
42.363014,-71.07807,130,,
42.36656,-71.07787,131,,
42.370895,-71.077835,132,,
42.371605,-71.07783,133,,
42.367226,-71.07772,134,,
42.36501,-71.0776,135,,
42.36792,-71.07756,136,,
42.365112,-71.07754,137,,
42.368572,-71.07741,138,,
42.364887,-71.07729,139,,
42.369263,-71.07725,140,,
42.36497,-71.07721,141,,
42.36994,-71.07709,142,,
42.370777,-71.07699,143,,
42.370636,-71.07692,144,,
42.37119,-71.0768,145,,
42.36571,-71.07677,146,,
42.370556,-71.07633,147,,
42.37079,-71.076096,148,,
42.37068,-71.07595,149,,
42.36666,-71.07584,150,,
42.3704,-71.075714,151,,
42.36693,-71.07533,152,,
42.370186,-71.07527,153,,
42.36798,-71.07457,154,,
42.36666,-71.074554,155,,
42.367844,-71.07445,156,,
42.367603,-71.07407,157,,
42.368607,-71.073906,158,,
42.36886,-71.07362,159,,
42.36868,-71.073616,160,,
42.369022,-71.07352,161,,
42.36914,-71.07314,162,,
42.36124,-71.07285,163,,
42.368946,-71.07275,164,,
42.361755,-71.07264,165,,
42.36876,-71.07238,166,,
42.368187,-71.071976,167,,
42.362637,-71.07195,168,,
42.362473,-71.071785,169,,
42.36825,-71.07174,170,,
42.362705,-71.07165,171,,
42.361095,-71.07136,172,,
42.362946,-71.07131,173,,
42.361378,-71.07116,174,,
42.360954,-71.07091,175,,
42.3618,-71.07083,176,,
42.36342,-71.07077,177,,
42.362507,-71.0707,178,,
42.361153,-71.0706,179,,
42.3614,-71.070595,180,,
42.36178,-71.07056,181,,
42.363438,-71.07056,182,,
42.367657,-71.07056,183,,
42.36784,-71.07056,184,,
42.360905,-71.07031,185,,
42.363953,-71.07025,186,,
42.36154,-71.07023,187,,
42.361027,-71.07004,188,,
42.361168,-71.06989,189,,
42.361073,-71.069885,190,,
42.36666,-71.069855,191,,
42.36429,-71.069786,192,,
42.367287,-71.06977,193,,
42.364998,-71.06975,194,,
42.364372,-71.06974,195,,
42.36736,-71.0696,196,,
42.361076,-71.06946,197,,
42.36563,-71.069435,198,,
42.367085,-71.06905,199,,
42.36109,-71.06875,200,,
42.36126,-71.068726,201,,
42.366287,-71.06872,202,,
42.362396,-71.06867,203,,
42.36217,-71.068634,204,,
42.363968,-71.068344,205,,
42.364056,-71.06832,206,,
42.3611,-71.06826,207,,
42.36067,-71.06824,208,,
42.362747,-71.06796,209,,
42.36218,-71.0679,210,,
42.361942,-71.06789,211,,
42.36111,-71.067856,212,,
42.36122,-71.067856,213,,
42.362183,-71.067825,214,,
42.36272,-71.067665,215,,
42.36195,-71.067566,216,,
42.363914,-71.06751,217,,
42.363983,-71.06727,218,,
42.36456,-71.06722,219,,
42.362194,-71.067055,220,,
42.363422,-71.06703,221,,
42.36112,-71.066956,222,,
42.3636,-71.06692,223,,
42.362194,-71.06687,224,,
42.361233,-71.06686,225,,
42.363422,-71.06656,226,,
42.36113,-71.06638,227,,
42.36113,-71.066,228,,
42.36178,-71.06554,229,,
42.361134,-71.06551,230,,
42.361137,-71.065155,231,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,